"genres","href","id","image_height","image_url","image_width","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","genre","max_height"
"c(""pop rap"", ""sad rap"", ""viral rap"")","https://api.spotify.com/v1/artists/0OEYE03fBF2VoTBxGuaUxL","0OEYE03fBF2VoTBxGuaUxL",640,"https://i.scdn.co/image/ab6761610000e5eb5ed24a31be6faae41c8c4bd4",640,"Chri$tian Gate$",65,"artist","spotify:artist:0OEYE03fBF2VoTBxGuaUxL","https://open.spotify.com/artist/0OEYE03fBF2VoTBxGuaUxL",NA,191796,"Pop",640
"c(""dutch trance"", ""edm"", ""pop dance"", ""progressive house"", ""trance"")","https://api.spotify.com/v1/artists/0SfsnGyD8FpIN4U4WCkBZ5","0SfsnGyD8FpIN4U4WCkBZ5",640,"https://i.scdn.co/image/ab6761610000e5eb5328c468cef8019bc41b63a8",640,"Armin van Buuren",75,"artist","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5",NA,4178601,"Pop",640
"c(""dance rock"", ""new romantic"", ""new wave"", ""new wave pop"", ""pop rock"", ""rock"", ""synthpop"")","https://api.spotify.com/v1/artists/0lZoBs4Pzo7R89JM9lxwoT","0lZoBs4Pzo7R89JM9lxwoT",640,"https://i.scdn.co/image/ab6761610000e5eb47f63876040bae5c16a28832",640,"Duran Duran",69,"artist","spotify:artist:0lZoBs4Pzo7R89JM9lxwoT","https://open.spotify.com/artist/0lZoBs4Pzo7R89JM9lxwoT",NA,2496526,"Pop",640
"c(""dance pop"", ""hyphy"", ""pop rap"", ""rap"", ""southern hip hop"", ""viral rap"")","https://api.spotify.com/v1/artists/6d47Z08T4snK50HgTEHo5Z","6d47Z08T4snK50HgTEHo5Z",640,"https://i.scdn.co/image/ab6761610000e5ebc654487e4de3245e2d2d89ab",640,"Sage The Gemini",65,"artist","spotify:artist:6d47Z08T4snK50HgTEHo5Z","https://open.spotify.com/artist/6d47Z08T4snK50HgTEHo5Z",NA,832690,"Pop",640
"pop punk","https://api.spotify.com/v1/artists/6Y64EaNqpqcZYTgs4c76gF","6Y64EaNqpqcZYTgs4c76gF",640,"https://i.scdn.co/image/ab6761610000e5ebf6cfa22c003ac97bc68b8644",640,"jxdn",65,"artist","spotify:artist:6Y64EaNqpqcZYTgs4c76gF","https://open.spotify.com/artist/6Y64EaNqpqcZYTgs4c76gF",NA,967257,"Pop",640
"c(""dance pop"", ""pop"", ""post-teen pop"", ""r&b"", ""rap"")","https://api.spotify.com/v1/artists/1FtBEIWAwvw5ymBen5GICR","1FtBEIWAwvw5ymBen5GICR",640,"https://i.scdn.co/image/ab6761610000e5eb51faefcdb46be932bee61627",640,"Chlöe",63,"artist","spotify:artist:1FtBEIWAwvw5ymBen5GICR","https://open.spotify.com/artist/1FtBEIWAwvw5ymBen5GICR",NA,233015,"Pop",640
"pop rap","https://api.spotify.com/v1/artists/7fObcBw9VM3x7ntWKCYl0z","7fObcBw9VM3x7ntWKCYl0z",640,"https://i.scdn.co/image/ab6761610000e5eb2c44e078944196a8c1eec256",640,"Colby O'Donis",69,"artist","spotify:artist:7fObcBw9VM3x7ntWKCYl0z","https://open.spotify.com/artist/7fObcBw9VM3x7ntWKCYl0z",NA,142267,"Pop",640
"c(""comic"", ""pop punk"", ""pop rock"", ""texas pop punk"")","https://api.spotify.com/v1/artists/5ND0mGcL9SKSjWIjPd0xIb","5ND0mGcL9SKSjWIjPd0xIb",640,"https://i.scdn.co/image/ab6761610000e5eb431720ffc823f2babce011f9",640,"Bowling For Soup",62,"artist","spotify:artist:5ND0mGcL9SKSjWIjPd0xIb","https://open.spotify.com/artist/5ND0mGcL9SKSjWIjPd0xIb",NA,1021065,"Pop",640
"c(""album rock"", ""classic rock"", ""folk rock"", ""heartland rock"", ""mellow gold"", ""pop rock"", ""rock"", ""singer-songwriter"", ""soft rock"")","https://api.spotify.com/v1/artists/3lPQ2Fk5JOwGWAF3ORFCqH","3lPQ2Fk5JOwGWAF3ORFCqH",640,"https://i.scdn.co/image/ab6761610000e5eb39cf2e0c338c08d5b8350053",640,"John Mellencamp",66,"artist","spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH","https://open.spotify.com/artist/3lPQ2Fk5JOwGWAF3ORFCqH",NA,1462399,"Pop",640
"c(""dance pop"", ""hip hop"", ""pop rap"")","https://api.spotify.com/v1/artists/41qil2VaGbD194gaEcmmyx","41qil2VaGbD194gaEcmmyx",640,"https://i.scdn.co/image/ab6761610000e5eb9e7e37aff77edd18db4584ff",640,"Will Smith",68,"artist","spotify:artist:41qil2VaGbD194gaEcmmyx","https://open.spotify.com/artist/41qil2VaGbD194gaEcmmyx",NA,863672,"Pop",640
"indie pop","https://api.spotify.com/v1/artists/6rniTPs9zN26kYnkPdFl1U","6rniTPs9zN26kYnkPdFl1U",640,"https://i.scdn.co/image/ab6761610000e5eb28ff9bc5d419505553375fa2",640,"Sir Chloe",65,"artist","spotify:artist:6rniTPs9zN26kYnkPdFl1U","https://open.spotify.com/artist/6rniTPs9zN26kYnkPdFl1U",NA,536515,"Pop",640
